/*Name startKM endKM stationEntrySpeed(kmph)*/

SNN 1182.5699999999997 1183.32 15.0
WG 1190.9999999999998 1191.75 15.0
HGT 1199.7899999999997 1200.54 15.0
YNA 1204.8699999999997 1205.62 15.0
NGI 1215.1799999999998 1215.93 15.0
CKNI 1227.3899999999996 1228.14 15.0
WRR 1237.6399999999996 1238.39 15.0
MJRI 1249.8899999999996 1250.64 15.0
BUX 1259.4899999999998 1260.24 15.0
TAE 1269.2199999999998 1269.97 15.0
CPW 1277.2199999999998 1277.97 15.0
VVKN 1278.2199999999998 1278.97 15.0
CD 1283.8599999999997 1284.61 15.0
BUPH 1288.7699999999998 1289.52 15.0
GNVR 1293.4699999999998 1294.22 15.0
BPQ 1297.7499999999998 1298.5 15.0
MAGH 1307.2599999999998 1308.01 15.0
VHGN 1315.8699999999997 1316.62 15.0
WIRR 1325.1599999999996 1325.91 15.0
MKDI 1338.0499999999997 1338.8 15.0
SRUR 1349.4099999999996 1350.16 15.0
VEM 1359.3999999999996 1360.15 15.0
SKZR 1367.4999999999995 1368.25 15.0
RLT 1374.4499999999996 1375.2 15.0
ASAF 1381.8899999999996 1382.64 15.0
RLW 1389.6399999999996 1390.39 15.0
RECH 1395.7699999999998 1396.52 15.0
BPA 1406.1699999999998 1406.92 15.0
MMZ 1415.5299999999997 1416.28 15.0
RVKH 1419.2799999999997 1420.03 15.0
MCI 1425.8199999999997 1426.57 15.0
PPZ 1434.8599999999997 1435.61 15.0
RDM 1439.5299999999997 1440.28 15.0
RGPM 1448.9499999999998 1449.7 15.0
PDPL 1457.0099999999998 1457.76 15.0
KYOP 1465.4499999999998 1466.2 15.0
KOLR 1470.5699999999997 1471.32 15.0
OEA 1476.0799999999997 1476.83 15.0
PTKP 1479.4999999999998 1480.25 15.0
BGSF 1489.9199999999998 1490.67 15.0
JMKT 1496.2599999999998 1497.01 15.0
OPL 1508.2499999999998 1509.0 15.0
HSP 1520.0199999999998 1520.77 15.0
KMPT 1526.2799999999997 1527.03 15.0
KZJE 1532.1399999999996 1532.89 15.0
KZJF 1534.1399999999996 1534.89 15.0
WL 1544.1799999999996 1544.93 15.0
CLE 1556.4899999999996 1557.24 15.0
YGL 1564.1399999999996 1564.89 15.0
NKD 1573.6899999999996 1574.44 15.0
INK 1583.2699999999995 1584.02 15.0
KDM 1589.3099999999995 1590.06 15.0
TAA 1598.4499999999996 1599.2 15.0
MABD 1604.3499999999995 1605.1 15.0
GUU 1615.5699999999995 1616.32 15.0
GLA 1625.3699999999997 1626.12 15.0
DKJ 1628.5999999999995 1629.35 15.0
PPY 1636.9899999999996 1637.74 15.0
MLMG 1642.3799999999997 1643.13 15.0
KMT 1651.6899999999996 1652.44 15.0
PNDP 1661.0799999999995 1661.83 15.0
CKN 1667.4999999999995 1668.25 15.0
NVC 1673.6099999999994 1674.36 15.0
BKL 1679.8799999999994 1680.63 15.0
MTMI 1689.9799999999993 1690.73 15.0
MDR 1696.3199999999993 1697.07 15.0
TNGM 1705.5399999999993 1706.29 15.0
YP 1711.9299999999994 1712.68 15.0
GNN 1721.9099999999994 1722.66 15.0
CVV 1728.3999999999994 1729.15 15.0
KI 1736.2699999999993 1737.02 15.0
RYP 1741.6999999999994 1742.45 15.0
NWBV 1745.3399999999995 1746.09 15.0
VBC 1749.0499999999993 1749.8 15.0
BZA 1752.0499999999993 1752.8 15.0
KCC 1757.0999999999995 1757.85 15.0
KAQ 1760.2999999999993 1761.05 15.0
PVD 1764.1999999999994 1764.95 15.0
CLVR 1767.9999999999993 1768.75 15.0
DIG 1773.7499999999993 1774.5 15.0
KLX 1777.5499999999993 1778.3 15.0
TEL 1783.5599999999993 1784.31 15.0
TSR 1794.9899999999993 1795.74 15.0
MDKU 1798.6899999999994 1799.44 15.0
NDO 1805.4899999999993 1806.24 15.0
MCVM 1810.4899999999993 1811.24 15.0
APL 1817.1799999999994 1817.93 15.0
BPP 1825.9499999999994 1826.7 15.0
SPF 1832.8399999999992 1833.59 15.0
IPPM 1836.8399999999992 1837.59 15.0
CLX 1840.9399999999994 1841.69 15.0
JAQ 1844.1399999999994 1844.89 15.0
VTM 1848.8799999999994 1849.63 15.0
KPLL 1852.7799999999993 1853.53 15.0
KVDU 1857.7799999999993 1858.53 15.0
CJM 1861.3099999999993 1862.06 15.0
UGD 1867.7699999999993 1868.52 15.0
RPRL 1872.1699999999994 1872.92 15.0
ANB 1875.3699999999994 1876.12 15.0
KRV 1881.6299999999994 1882.38 15.0
OGL 1890.4099999999994 1891.16 15.0
SDM 1900.5599999999993 1901.31 15.0
TNR 1908.7399999999993 1909.49 15.0
SKM 1918.3599999999994 1919.11 15.0
UPD 1927.9299999999994 1928.68 15.0
TTU 1941.6799999999994 1942.43 15.0
KVZ 1956.0099999999993 1956.76 15.0
SVPM 1968.2399999999993 1968.99 15.0
BTTR 1972.5599999999993 1973.31 15.0
AXR 1978.8099999999993 1979.56 15.0
TMC 1990.3699999999994 1991.12 15.0
KJJ 1995.0299999999993 1995.78 15.0
PGU 2002.3899999999994 2003.14 15.0
NLR 2006.4499999999994 2007.2 15.0
NLS 2008.9499999999994 2009.7 15.0
VDE 2013.6899999999994 2014.44 15.0
VKT 2022.9599999999994 2023.71 15.0
KMLP 2029.2099999999994 2029.96 15.0
MBL 2035.4199999999994 2036.17 15.0
GDR 2044.7699999999993 2045.52 15.0
ODUR 2053.459999999999 2054.21 15.0
PYA 2059.449999999999 2060.2 15.0
NYP 2072.419999999999 2073.17 15.0
DVR 2083.949999999999 2084.7 15.0
PEL 2091.419999999999 2092.17 15.0
SPE 2099.5899999999992 2100.34 15.0
AKAT 2105.0899999999992 2105.84 15.0
TADA 2112.0499999999993 2112.8 15.0
AKM 2119.499999999999 2120.25 15.0
ELR 2129.079999999999 2129.83 15.0
GPD 2134.6799999999994 2135.43 15.0
KVP 2140.5899999999992 2141.34 15.0
PON 2147.2699999999995 2148.02 15.0
APB 2151.9699999999993 2152.72 15.0
MJR 2155.9699999999993 2156.72 15.0
NPKM 2158.2699999999995 2159.02 15.0
AIP 2159.87 2160.62 15.0
AIPP 2161.67 2162.42 15.0
ENR 2165.84 2166.59 15.0
KAVM 2167.04 2167.79 15.0
WCN 2169.04 2169.79 15.0
TVT 2171.54 2172.29 15.0
VOC 2173.9399999999996 2174.69 15.0
TNP 2176.4399999999996 2177.19 15.0
KOK 2177.5899999999992 2178.34 15.0
BBQA 2179.5899999999992 2180.34 15.0
MASA 2181.8099999999995 2182.56 15.0
